gid,objectid_1,ssampleno,type,longitude,latitude,SiO2,Al2O3,Fe2O3,TiO2,CaO,MgO,MnO,Na2O,K2O,P2O5,LOI,Ba,Ga,Sc,V,Th,Pb,Ni,Co,Rb,Sr,Y,Zr,Nb,Cr,Cu,Zn,Au,Li,Cs,As,Sb,Bi,Se,Ag,Be,Ge,Mo,Sn,La,Ce,Pr,Nd,Sm,Eu,Tb,Gd,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,w,U,Pt,Pd,Soi_No.,F,In,Te,Tl,Cd,Hg,View on Map
2277,247676,57F11/A1/R/12,Regolith,77.5417,14.4583,46.35,21.43,12.24,1.15,2.97,1.31,0.17,1.03,0.83,0.09,0,580,23,40,279,9,13,65,53,26,159,24,370,13,151,65,62,0,0,0,0,0,0,0,0,0.57,1.37,0,0,16.75,33.7,3.78,15.72,3.43,1.26,0.69,3.89,4.31,0.83,2.32,0.46,2.54,0.46,9.47,0.64,0,1.82,0,0,57F11,0,0,0,0,,,
2278,247677,57F11/A2/R/12,Regolith,77.5417,14.375,43.29,24.93,15.26,1.06,2.13,1.4,0.2,0.62,0.58,0.07,0,568,28,41,288,7,9,95,59,23,116,24,164,7,165,103,71,0,0,0,0,0,0,0,0,1.04,1.46,0,0,23,45.53,6.12,26.1,4.99,1.86,0.98,6.01,5.32,1.06,2.95,0.43,3.15,0.51,5.47,0.69,0,1.45,0,0,57F11,0,0,0,0,,,
2279,247678,57F11/A3/R/12,Regolith,77.5417,14.2917,57.83,17.57,5.42,0.79,2.26,1.57,0.09,1.55,2.53,0.1,0,830.3,19.6,10.3,88.1,20.7,20.4,34.8,17.4,105.8,339.2,20.6,361.1,14.5,60.7,28.9,44.2,0,0,0,0,0,0,0,0,0.15,0.36,0,0,2.6,5.14,0.55,1.96,0.33,0.08,0.03,0.25,0.17,0.03,0.09,0.01,0.09,0.01,0.1,0.1,0,0.25,0,0,57F11,0,0,0,0,,,
2280,247679,57F11/A4/R/12,Regolith,77.625,14.4583,48.06,20.14,10.82,0.56,4.84,2,0.17,1.93,0.86,0.19,0,427,28,22,125,6,15,49,53,36,327,26,140,6,47,77,81,0,0,0,0,0,0,0,0,0.5,1.41,0,0,12.21,26.74,3.51,14.96,3.55,1.14,0.77,4.1,4.55,0.84,2.49,0.4,2.53,0.45,5.52,0.4,0,1.15,0,0,57F11,0,0,0,0,,,
2281,247680,57F11/A5/R/12,Regolith,77.625,14.375,61.78,16.94,5.75,0.71,2.93,1.08,0.07,2.3,2.34,0.09,0,941,19,16,147,11,15,27,17,53,400,16,625,8,99,22,37,0,0,0,0,0,0,0,0,1.42,1.18,0,0,29.14,59.88,7.46,30.87,5.81,1.85,0.7,5.05,3.7,0.71,1.75,0.32,2.04,0.42,18.12,0.66,0,2.8,0,0,57F11,0,0,0,0,,,
2282,247681,57F11/A6/R/12,Regolith,77.625,14.2917,52.72,21.58,6.56,0.74,1.31,0.76,0.06,1.06,2.06,0.07,0,423,23,15,109,23,1,44,9,80,220,15,498,2.5,76,29,44,0,0,0,0,0,0,0,0,2.31,1.13,0,0,53.72,112.28,12.62,48.88,7.1,1.66,0.85,5.24,4.09,0.69,2.1,0.38,2.51,0.43,20.54,1.68,0,4.01,0,0,57F11,0,0,0,0,,,
2283,247682,57F11/A7/R/12,Regolith,77.7083,14.4583,52.89,19.75,8.69,0.81,2.63,1.6,0.1,1.25,1.5,0.1,0,560,24,21,141,11,5,72,20,48,231,19,343,2.5,244,53,74,0,0,0,0,0,0,0,0,1.24,1.22,0,0,67.54,136.64,15.23,57.74,9.65,2.34,0.93,6.69,4.94,0.81,2.22,0.4,2.66,0.37,13.95,0.91,0,2.09,0,0,57F11,0,0,0,0,,,
2284,247683,57F11/A8/R/12,Regolith,77.7083,14.375,60.7,17.85,5.32,0.68,2.19,1.06,0.07,1.46,1.96,0.08,0,582,20,14,112,15,9,37,13,62,261,14,459,6,80,27,38,0,0,0,0,0,0,0,0,1.6,0.77,0,0,33.01,66.62,7.23,27.42,4.85,1.59,0.61,3.87,3.41,0.55,1.65,0.3,2.18,0.37,14.8,0.74,0,2.32,0,0,57F11,0,0,0,0,,,
2285,247684,57F11/A9/R/12,Regolith,77.7083,14.2917,54.85,20.21,6.8,0.91,0.99,0.76,0.07,1.14,2.66,0.08,0,663,21,18,160,22,1,38,18,118,159,18,621,12,81,34,33,0,0,0,0,0,0,0,0,1.32,1.32,0,0,45.61,82.97,9.39,37.92,5.98,1.53,0.8,4.76,4.69,0.93,2.29,0.51,3.26,0.58,23,1.99,0,5.67,0,0,57F11,0,0,0,0,,,
2266,247818,57F11/A1/C/12,C horizon,77.5417,14.4583,46.28,22.35,10.59,0.53,4.53,1.11,0.17,1.36,0.33,0.09,0,327,26,29,129,6,9,59,59,11,181,22,116,7,70,72,56,0,0,0,0,0,0,0,0,0.61,1.31,0,0,15.08,29.33,3.55,14.74,3.12,1.37,0.64,3.66,4.31,0.78,2.36,0.37,2.75,0.45,3.28,0.42,0,1.04,0,0,57F11,0,0,0,0,,,
