gid,objectid,longitude_,latitude_r,elevation_,observed_g,theoretica,bouguer_an,toposheet
386966,386966,77.6264,14.2569,443,978167,978345,-91,57F/11
386967,386967,77.6278,14.2653,438,978168,978346,-91,57F/11
386968,386968,77.6281,14.275,434,978170,978346,-90,57F/11
386969,386969,77.6292,14.2839,429,978170,978347,-91,57F/11
386970,386970,77.6286,14.2931,421,978173,978347,-90,57F/11
386971,386971,77.6297,14.3017,420,978174,978347,-90,57F/11
386972,386972,77.6331,14.3097,417,978175,978348,-90,57F/11
386973,386973,77.6364,14.3183,418,978175,978348,-91,57F/11
386974,386974,77.6383,14.3281,407,978176,978348,-91,57F/11
386975,386975,77.6389,14.3364,409,978177,978349,-91,57F/11
386976,386976,77.6397,14.3456,405,978178,978349,-91,57F/11
386977,386977,77.6411,14.3547,405,978178,978350,-92,57F/11
386978,386978,77.6403,14.3636,397,978179,978350,-92,57F/11
386979,386979,77.6428,14.3731,398,978180,978350,-92,57F/11
386980,386980,77.6442,14.3825,389,978182,978351,-91,57F/11
386981,386981,77.6408,14.3897,389,978183,978351,-90,57F/11
386982,386982,77.6397,14.3986,388,978185,978352,-89,57F/11
386983,386983,77.6361,14.4069,391,978186,978352,-89,57F/11
386984,386984,77.6333,14.4156,400,978186,978352,-88,57F/11
386985,386985,77.6306,14.4242,389,978188,978353,-88,57F/11
386986,386986,77.6306,14.4333,387,978188,978353,-87,57F/11
386987,386987,77.63,14.4422,390,978190,978353,-87,57F/11
386988,386988,77.6294,14.4517,393,978189,978354,-87,57F/11
386989,386989,77.6289,14.4608,395,978188,978354,-88,57F/11
386990,386990,77.6281,14.4692,397,978188,978355,-88,57F/11
386991,386991,77.6314,14.4772,395,978189,978355,-88,57F/11
386992,386992,77.6325,14.4864,388,978190,978355,-88,57F/11
386993,386993,77.6328,14.4961,386,978190,978356,-89,57F/11
386994,386994,77.6244,14.3164,417,978175,978348,-90,57F/11
386995,386995,77.6167,14.3178,423,978174,978348,-90,57F/11
386996,386996,77.6081,14.3194,419,978177,978348,-89,57F/11
386997,386997,77.5931,14.3278,418,978179,978348,-87,57F/11
386998,386998,77.5842,14.3239,427,978178,978348,-85,57F/11
386999,386999,77.5747,14.3214,439,978175,978348,-86,57F/11
387000,387000,77.5656,14.3206,437,978176,978348,-86,57F/11
387001,387001,77.5567,14.3203,450,978172,978348,-86,57F/11
387002,387002,77.5472,14.3203,455,978173,978348,-85,57F/11
387003,387003,77.5383,14.3203,469,978172,978348,-83,57F/11
387004,387004,77.5292,14.3192,473,978174,978348,-80,57F/11
387005,387005,77.52,14.3158,492,978177,978348,-73,57F/11
387006,387006,77.5139,14.315,518,978172,978348,-74,57F/11
387007,387007,77.5072,14.3092,531,978169,978348,-74,57F/11
387008,387008,77.6167,14.4364,399,978188,978353,-86,57F/11
387009,387009,77.6092,14.4381,406,978186,978353,-87,57F/11
387010,387010,77.5986,14.4389,402,978186,978353,-87,57F/11
387011,387011,77.5897,14.4422,414,978182,978353,-90,57F/11
387012,387012,77.5814,14.4447,428,978180,978354,-90,57F/11
387013,387013,77.5725,14.4467,436,978179,978354,-88,57F/11
387014,387014,77.5633,14.4458,445,978176,978354,-90,57F/11
387015,387015,77.5542,14.4461,447,978175,978354,-91,57F/11
387016,387016,77.5456,14.4475,439,978176,978354,-91,57F/11
387017,387017,77.5369,14.4489,442,978176,978354,-91,57F/11
387018,387018,77.5281,14.4528,429,978177,978354,-91,57F/11
387019,387019,77.5189,14.4547,425,978179,978354,-91,57F/11
387020,387020,77.5106,14.4578,426,978179,978354,-91,57F/11
387021,387021,77.5031,14.4622,429,978179,978354,-91,57F/11
387022,387022,77.5786,14.2533,451,978170,978345,-87,57F/11
387023,387023,77.5856,14.2581,443,978170,978345,-88,57F/11
387024,387024,77.5925,14.2642,445,978169,978346,-89,57F/11
387025,387025,77.6006,14.2658,448,978167,978346,-90,57F/11
387026,387026,77.6092,14.2722,446,978167,978346,-91,57F/11
387027,387027,77.6164,14.2703,453,978167,978346,-90,57F/11
387028,387028,77.6425,14.3156,419,978173,978348,-92,57F/11
387029,387029,77.6497,14.3217,413,978175,978348,-91,57F/11
387030,387030,77.6564,14.3278,409,978176,978348,-91,57F/11
387031,387031,77.6647,14.3322,409,978176,978349,-92,57F/11
387032,387032,77.6717,14.3378,400,978178,978349,-92,57F/11
387033,387033,77.6772,14.3456,391,978180,978349,-92,57F/11
387034,387034,77.6817,14.3528,388,978182,978350,-91,57F/11
387035,387035,77.6867,14.3608,391,978182,978350,-91,57F/11
387036,387036,77.69,14.3694,386,978185,978350,-89,57F/11
387037,387037,77.695,14.3767,387,978186,978351,-88,57F/11
387038,387038,77.7,14.3844,375,978189,978351,-88,57F/11
387039,387039,77.7042,14.3917,368,978191,978351,-87,57F/11
387040,387040,77.7092,14.4,368,978191,978352,-88,57F/11
387041,387041,77.7131,14.4078,370,978191,978352,-88,57F/11
387042,387042,77.7117,14.4144,377,978189,978352,-89,57F/11
387043,387043,77.7036,14.4189,370,978191,978352,-89,57F/11
387044,387044,77.6967,14.4231,365,978191,978353,-89,57F/11
387045,387045,77.6878,14.4281,366,978192,978353,-88,57F/11
387046,387046,77.6789,14.4317,371,978190,978353,-89,57F/11
387047,387047,77.67,14.4331,372,978189,978353,-89,57F/11
387048,387048,77.6614,14.4325,374,978191,978353,-88,57F/11
387049,387049,77.6522,14.4303,383,978190,978353,-87,57F/11
387050,387050,77.6439,14.4311,386,978190,978353,-87,57F/11
387051,387051,77.6356,14.4358,384,978190,978353,-87,57F/11
