gid,objectid,observed_m,igrf_nt,magnetic_a,longitude_,latitude_r,toposheet
317368,317368,40872.13132,41573.71077,-701.5794468,77.66925,14.30908,57F/11
317369,317369,41135.13264,41629.78027,-494.6476313,77.6545,14.49714,57F/11
317370,317370,41152.13245,41621.69501,-469.56256,77.66114,14.46881,57F/11
317371,317371,41165.13195,41604.09323,-438.9612808,77.54458,14.44861,57F/11
317372,317372,41203.13215,41609.269,-406.1368447,77.65169,14.43136,57F/11
317373,317373,41169.13102,41564.26506,-395.134046,77.56472,14.31172,57F/11
317374,317374,41244.13235,41620.59121,-376.4588649,77.55414,14.49911,57F/11
317375,317375,41210.13142,41578.36638,-368.2349588,77.65544,14.32889,57F/11
317376,317376,41212.13136,41575.82846,-363.6970995,77.64864,14.32272,57F/11
317377,317377,41219.13123,41572.40598,-353.2747446,77.59244,14.32958,57F/11
317378,317378,41288.13193,41600.44169,-312.3097649,77.63294,14.40853,57F/11
317379,317379,41291.13177,41596.22767,-305.0958939,77.56092,14.41778,57F/11
317380,317380,41294.13186,41599.01975,-304.8878985,77.58292,14.41986,57F/11
317381,317381,41314.13175,41595.3138,-281.1820499,77.55289,14.41736,57F/11
317382,317382,41335.13142,41578.83017,-243.6987514,77.63708,14.33633,57F/11
317383,317383,41384.1322,41610.92343,-226.7912373,77.66061,14.43392,57F/11
317384,317384,41381.1319,41595.89029,-214.7583987,77.73183,14.36197,57F/11
317385,317385,41393.13192,41603.86783,-210.7359036,77.51872,14.45611,57F/11
317386,317386,41357.13102,41561.78385,-204.6528289,77.63956,14.27928,57F/11
317387,317387,41412.13176,41590.91426,-178.7825026,77.70806,14.35325,57F/11
317388,317388,41385.13089,41557.23525,-172.1043605,77.61747,14.27139,57F/11
317389,317389,41413.13114,41564.58274,-151.4516014,77.71675,14.2635,57F/11
317390,317390,41442.13162,41587.90771,-145.7760912,77.61872,14.37206,57F/11
317391,317391,41470.1322,41608.67161,-138.5394043,77.74022,14.40119,57F/11
317392,317392,41472.13202,41607.82029,-135.6882648,77.5245,14.46711,57F/11
317393,317393,41458.13168,41592.95676,-134.8250804,77.54047,14.41364,57F/11
317394,317394,41491.13248,41623.96642,-132.8339403,77.63092,14.48575,57F/11
317395,317395,41482.13222,41612.31911,-130.186896,77.64469,14.44353,57F/11
317396,317396,41445.1312,41569.02387,-123.8926673,77.653,14.29886,57F/11
317397,317397,41484.13187,41599.41906,-115.2871905,77.59431,14.41753,57F/11
317398,317398,41501.13201,41601.23727,-100.1052572,77.71583,14.38464,57F/11
317399,317399,41458.13083,41554.5224,-96.39156184,77.62519,14.25989,57F/11
317400,317400,41508.13195,41598.99882,-90.86687266,77.70853,14.37964,57F/11
317401,317401,41490.13135,41580.28531,-90.1539568,77.50089,14.38492,57F/11
317402,317402,41457.13052,41544.92405,-87.79352672,77.51539,14.26383,57F/11
317403,317403,41531.13235,41618.34027,-87.20792539,77.62764,14.46853,57F/11
317404,317404,41469.13079,41554.7958,-85.66500323,77.56372,14.28078,57F/11
317405,317405,41533.13239,41617.62882,-84.49643583,77.70086,14.44297,57F/11
317406,317406,41501.13148,41580.53121,-79.39973098,77.66386,14.33331,57F/11
317407,317407,41539.13236,41617.76425,-78.63189393,77.66122,14.456,57F/11
317408,317408,41548.13257,41624.45451,-76.32194485,77.72494,14.45756,57F/11
317409,317409,41491.13122,41567.1472,-76.01598347,77.73706,14.26542,57F/11
317410,317410,41498.13124,41573.74404,-75.61280267,77.55536,14.34594,57F/11
317411,317411,41508.13159,41583.70841,-75.57682741,77.70489,14.33056,57F/11
317412,317412,41479.1308,41554.08182,-74.95101398,77.5985,14.26711,57F/11
317413,317413,41519.13186,41594.06985,-74.93798921,77.74522,14.35169,57F/11
317414,317414,41488.13103,41561.56244,-73.43140443,77.66931,14.26889,57F/11
317415,317415,41530.13201,41600.69416,-70.56215456,77.73328,14.37728,57F/11
317416,317416,41545.13225,41612.30319,-67.17093575,77.68706,14.43,57F/11
317417,317417,41526.1317,41587.3745,-61.24279949,77.74483,14.32978,57F/11
317418,317418,41527.13168,41587.33003,-60.19834365,77.72081,14.33736,57F/11
