gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
2947,2947,57F11/177/SS/12,77.657407,14.475225,61.921,14.606,4.51,0.05,2.28,3.24,1.52,2.46,0.61,0.13,8.148,826.5,11.3,11.1,72.5,16.6,12.4,24.8,11.4,74.2,375.7,21.7,695.4,6.9,49.9,23.2,32,1.5,12,5,1.35,0.1,0.05,0.18,25,0.902684,0.980504,2.5,2.5,37.722005,72.2323,8.555444,31.887143,5.576899,1.568522,0.674691,4.463554,3.725699,0.730795,2.139445,0.359742,2.290226,0.413697,26.874492,0.677483,2.5,3.016905,0,0,57F11,0,0,0,0,8,50
2948,2948,57F11/178/SS/12,77.675926,14.475225,62.077,13.75,4.22,0.05,2.43,4.14,1.52,2.55,0.64,0.12,7.836678,836.2,10.1,13.3,83.5,17,11.9,22.7,7.3,73.3,465.2,22,826.1,8.8,50.1,19.4,27.4,1.5,11,5,1.21,0.1,0.05,0.12,24,1.189926,1.028039,2.5,2.5,31.134342,63.086789,7.586066,28.995136,5.609441,1.435208,0.675635,4.62593,4.140085,0.783322,2.405519,0.419132,2.891123,0.500104,37.079419,0.774466,2.5,3.37855,0,0,57F11,0,0,0,0,9,50
2949,2949,57F11/179/SS/12,77.694444,14.475225,68.645,13.41,3.02,0.05,1.32,3.19,2.89,3.08,0.75,0.08,2.887008,1012.9,12.6,12,74.7,16.7,16.6,13,5.1,80,487.6,21.5,763.8,8.3,56.4,14.1,24.2,1.5,10,5,1.27,0.1,0.05,0.05,10,1.565,0.843,2.5,2.5,24.069,48.971001,5.755,21.624001,4.549,1.279,0.567,3.76,3.404,0.651,1.919,0.329,2.323,0.423,23.652,0.715,2.5,3.509,0,0,57F11,0,0,0,0,2.5,50
2950,2950,57F11/180/SS/12,77.712963,14.475225,64.95,14.28,3.46,0.05,1.75,3.1,2.34,2.82,0.6,0.12,5.844285,943.6,11.5,11.5,64.3,18.3,15.5,19.2,9,83.5,445.6,18.8,759.8,8.6,52.8,17.1,30,1.5,0,0,0,0,0,0,20,1.311,0.913,2.5,2.5,25.75,50.4,6.789,22.41,4.945,1.283,0.607,4.003,3.392,0.629,1.951,0.306,2.186,0.4,21.961,0.744,2.5,4.241,0,0,57F11,0,0,0,0,19,50
2951,2951,57F11/181/SS/12,77.731481,14.475225,64.302,14.01,4.08,0.05,1.84,3.24,2.12,2.83,0.75,0.16,6.073601,770.5,13.5,11.1,81,23.1,14.8,23.8,9.1,86.8,405.8,17.3,1001.3,10.1,59.8,18.2,31.8,1.5,12,5,1.26,0.1,0.12,0.05,23,1.536,0.947,2.5,2.5,27.639,56.014999,6.659,25.004,5.099,1.265,0.618,4.173,3.475,0.655,2.042,0.334,2.322,0.431,26.705,0.832,2.5,4.218,0,0,57F11,0,0,0,0,19,50
2952,2952,57F11/182/SS/12,77.749999,14.475225,64.346,14.94,5.25,0.07,1.38,2.59,2.31,2.95,1.05,0.17,4.410744,857.7,14.1,11.8,120.4,22.2,11.8,19.3,12.3,93.4,370.9,21.2,812.6,10.3,55.7,40.4,49.2,1.5,10,5,1.25,0.1,0.05,0.15,30,1.334,1.011,2.5,2.5,21.546,45.799,5.228,20.370001,4.218,1.276,0.571,3.751,3.457,0.65,1.978,0.32,2.311,0.403,23.323999,0.739,2.5,3.882,0,0,57F11,0,0,0,0,12,50
2953,2953,57F11/183/SS/12,77.509259,14.493242,65.4704,15.431,5.01,0.06,0.97,2.62,1.78,1.99,0.89,0.09,5.06696,675.3,13.6,13.1,97.5,8.9,16.7,18,9.7,48.2,238.4,17.9,814,9,61.5,17.4,27.8,1.5,10,5,1.5,0.1,0.05,0.05,10,1.053576,1.043445,2.5,2.5,26.347675,56.118818,6.123415,23.052365,4.505168,1.479,0.64444,4.126052,3.753795,0.744067,2.418039,0.400721,2.678618,0.491491,32.021118,0.704971,2.5,2.109419,0,0,57F11,0,0,0,0,5,50
2954,2954,57F11/184/SS/12,77.527778,14.493242,63.613,15.284,5.04,0.07,1.39,3.11,2.23,2.43,0.71,0.09,5.327869,725.5,13.9,13.8,93.7,8.7,17.5,35.4,14,67.6,271.4,19.2,570.8,9.6,78.3,25.1,31.6,8,11,5,2.18,0.26,0.05,0.14,22,0.991316,1.029867,2.5,2.5,24.707004,50.508562,5.406181,19.767675,3.902897,1.24853,0.563736,3.479381,3.181897,0.626503,1.961223,0.314897,2.123821,0.370558,17.071409,0.693911,2.5,1.852841,0,0,57F11,0,0,0,0,6,50
2955,2955,57F11/185/SS/12,77.546296,14.493242,61.56,14.83,4.07,0.06,1.56,3.98,1.85,2.51,0.61,0.11,8.13,764,17,15,82,12,11,26,9,71,311,13,463,6,76,17,40,1.5,16,5,17,0.1,0.15,0.1,34,1.775376,1.771406,2.5,2.5,23.309528,48.445961,5.118383,21.752626,3.839935,1.251318,0.508788,3.529157,2.92198,0.52459,1.729148,0.349109,2.111293,0.33124,18.161482,11.438623,2.5,3.164249,0,0,57F11,0,0,0,0,10,50
2956,2956,57F11/186/SS/12,77.564815,14.493242,61.94012,15.364,5.02,0.06,1.29,3.23,1.95,2.39,0.65,0.28,7.187439,772.2,11.3,11.6,86.9,9.8,17.1,27.9,10.8,63.6,283.4,21.9,453.7,6.7,66.6,26.8,40.4,20,15,5,1.33,0.1,0.05,0.2,137,1.51747,1.20576,2.5,2.5,26.657001,56.11201,6.265094,23.953863,4.725284,1.520664,0.732299,4.444095,4.399529,0.858414,2.752729,0.440768,2.99592,0.529154,22.014712,0.827045,2.5,2.475858,0,0,57F11,0,0,0,0,22,50
